SKU,Barcode,Brand,Price,MSRP,Gross Weight,Net Weight,
ART620435 ,5000239170142,Armitage ,16,30.95," ""0.2""",0.2,
ART620436 ,5000239170357,Armitage ,6,12.38," ""0.02""",0.02,
ART620457 ,5000239172238,Armitage ,11.5,23.33," ""0.1""",0.1,
ART620666 ,5000239212378,Armitage ,6.5,13.33," ""0.1""",0.1,
ART620480 ,5000239250172,Armitage ,42.5,73.33," ""0.205""",0.2,
AR27137 ,5000239271375,Armitage ,7,13.81," ""0.375""",0.375,
ART620671 ,5000239271368,Armitage ,7.5,15.24," ""0.375""",0.375,
AR27134 ,5000239271344,Armitage ,7.5,15.24," ""0.45""",0.45,
AR27132 ,5000239271320,Armitage ,7.5,15.24," ""0.375""",0.375,
ART620452 ,5000239171873,Armitage ,46,92.38," ""0.152""",0.152,
BE16308 ,8711231163083,Beaphar ,31,52.38," ""1.08""",1,
BE16982 ,8711231169825,Beaphar ,22,41.9," ""1.04""",1,
BE12781 ,8711231127818,Beaphar ,13.5,25.71," ""0.07""",0.05,
BE11440 ,8711231114405,Beaphar ,8,15.24," ""0.05""",0.04,
BE11637 ,8711231116379,Beaphar ,8,15.24," ""0.04""",0.04,
BE15152 ,8711231151523,Beaphar ,8,15.24," ""0.05""",0.04,
BE11611 ,8711231116119,Beaphar ,18.5,35.24," ""0.18""",0.15,
BE11418 ,8711231114184,Beaphar ,8,15.24," ""0.05""",0.04,
BE18424 ,8711231184248,Beaphar ,16,26.19," ""0.27""",0.25,
BE18423 ,8711231184231,Beaphar ,15.5,24.76," ""0.27""",0.25,
BE18454 ,8711231184545,Beaphar ,44.5,68.57," ""1.55""",1.5,
BE16316 ,8710729093123,Beaphar ,40,79.52," ""2.68""",2.5,
BE16329 ,8710729093222,Beaphar ,41,81.9," ""2.68""",2.5,
BE13002 ,8711231130023,Beaphar ,143,209.05," ""5.1""",5,
BE16315 ,8710729093116,Beaphar ,19.5,39.05," ""1.04""",1,
BE16328 ,8710729093215,Beaphar ,19.5,39.05," ""1.08""",1,
BE18407 ,8711231184071,Beaphar ,44.5,68.57," ""1.53""",1.5,
BE18405 ,8711231184057,Beaphar ,44.5,68.57," ""1.53""",1.5,
BE18404 ,8711231184040,Beaphar ,44.5,68.57," ""1.53""",1.5,
BE18403 ,8711231184033,Beaphar ,44.5,68.57," ""1.53""",1.5,
