iter	Passed	Remaining
0	4	437
1	6	297
2	7	236
3	8	209
4	10	200
5	12	202
6	15	200
7	17	197
8	19	195
9	21	191
10	23	187
11	25	183
12	26	178
13	28	173
14	29	169
15	31	165
16	32	160
17	34	155
18	35	152
19	37	148
20	38	145
21	39	141
22	41	138
23	42	134
24	43	131
25	45	128
26	46	124
27	47	121
28	48	118
29	49	116
30	51	113
31	52	110
32	53	108
33	54	105
34	55	102
35	56	100
36	57	97
37	58	95
38	59	93
39	60	91
40	61	89
41	62	86
42	63	84
43	64	82
44	65	80
45	66	78
46	67	76
47	68	74
48	70	73
49	71	71
50	72	69
51	73	67
52	74	65
53	75	64
54	75	62
55	77	60
56	78	58
57	79	57
58	80	56
59	81	54
60	82	52
61	84	51
62	85	50
63	86	48
64	87	47
65	88	45
66	89	44
67	90	42
68	91	41
69	93	39
70	94	38
71	95	37
72	96	35
73	97	34
74	98	32
75	99	31
76	101	30
77	102	28
78	103	27
79	104	26
80	105	24
81	107	23
82	107	22
83	109	20
84	110	19
85	111	18
86	112	16
87	113	15
88	114	14
89	115	12
90	116	11
91	118	10
92	119	8
93	120	7
94	121	6
95	122	5
96	123	3
97	124	2
98	125	1
99	127	0
